symbol,ok,preferredSide,preferredScore,longScore,shortScore,scoreDifference,evidenceCoveragePercent,tradeEligible,decision,riskStatus,technical,company,macro,events,institutional,historical,social,country,error
IHAK,false,,,,,,,false,,,,,,,,,,,fetch failed
GETY,false,,,,,,,false,,,,,,,,,,,fetch failed
TLIH,false,,,,,,,false,,,,,,,,,,,fetch failed
TAXX,false,,,,,,,false,,,,,,,,,,,fetch failed
AIXI,false,,,,,,,false,,,,,,,,,,,fetch failed
SHO.PRI,false,,,,,,,false,,,,,,,,,,,fetch failed
SCII,false,,,,,,,false,,,,,,,,,,,fetch failed
RWT.PRA,false,,,,,,,false,,,,,,,,,,,fetch failed
REGCP,false,,,,,,,false,,,,,,,,,,,fetch failed
QQQG,false,,,,,,,false,,,,,,,,,,,fetch failed
PSR,false,,,,,,,false,,,,,,,,,,,fetch failed
DBRG.PRI,false,,,,,,,false,,,,,,,,,,,fetch failed
WIT,false,,,,,,,false,,,,,,,,,,,fetch failed
PGHY,false,,,,,,,false,,,,,,,,,,,fetch failed
TDIV,false,,,,,,,false,,,,,,,,,,,fetch failed
GROW,false,,,,,,,false,,,,,,,,,,,fetch failed
ZDAI,false,,,,,,,false,,,,,,,,,,,fetch failed
XYLD,false,,,,,,,false,,,,,,,,,,,fetch failed
XCLR,false,,,,,,,false,,,,,,,,,,,fetch failed
WFC.PRC,false,,,,,,,false,,,,,,,,,,,fetch failed
VNRX,false,,,,,,,false,,,,,,,,,,,fetch failed
VAIE,false,,,,,,,false,,,,,,,,,,,fetch failed
TWLVR,false,,,,,,,false,,,,,,,,,,,fetch failed
SZZLU,false,,,,,,,false,,,,,,,,,,,fetch failed
SOUL,false,,,,,,,false,,,,,,,,,,,fetch failed
SAMT,false,,,,,,,false,,,,,,,,,,,fetch failed
RFV,false,,,,,,,false,,,,,,,,,,,fetch failed
PRIF.PRD,false,,,,,,,false,,,,,,,,,,,fetch failed
OHACR,false,,,,,,,false,,,,,,,,,,,fetch failed
OACCW,false,,,,,,,false,,,,,,,,,,,fetch failed
NUAG,false,,,,,,,false,,,,,,,,,,,fetch failed
MPU,false,,,,,,,false,,,,,,,,,,,fetch failed
MCGAW,false,,,,,,,false,,,,,,,,,,,fetch failed
LGDS,false,,,,,,,false,,,,,,,,,,,fetch failed
KDKRW,false,,,,,,,false,,,,,,,,,,,fetch failed
IPEX,false,,,,,,,false,,,,,,,,,,,fetch failed
IBIG,false,,,,,,,false,,,,,,,,,,,fetch failed
BMNG,false,,,,,,,false,,,,,,,,,,,fetch failed
HBNB,false,,,,,,,false,,,,,,,,,,,fetch failed
GSGO,false,,,,,,,false,,,,,,,,,,,fetch failed
GL.PRD,false,,,,,,,false,,,,,,,,,,,fetch failed
MINV,false,,,,,,,false,,,,,,,,,,,fetch failed
FSYD,false,,,,,,,false,,,,,,,,,,,fetch failed
FLOW,false,,,,,,,false,,,,,,,,,,,fetch failed
FEBO,false,,,,,,,false,,,,,,,,,,,fetch failed
ORIQU,false,,,,,,,false,,,,,,,,,,,fetch failed
EMOP,false,,,,,,,false,,,,,,,,,,,fetch failed
EAI,false,,,,,,,false,,,,,,,,,,,fetch failed
DIVS,false,,,,,,,false,,,,,,,,,,,fetch failed
CYN,false,,,,,,,false,,,,,,,,,,,fetch failed
